,StockCode,date,price
240,601328.SH,20200514,5.12
241,601997.SH,20200514,7.68
242,002007.SZ,20200514,37.58
243,002044.SZ,20200514,12.54
244,603288.SH,20200508,108.72
245,300122.SZ,20200508,81.39
246,600061.SH,20200508,12.26
247,600109.SH,20200512,10.16
248,600999.SH,20200512,17.85
249,601162.SH,20200512,6.01
250,601688.SH,20200512,18.02
251,000728.SZ,20200519,8.0
252,002294.SZ,20200520,19.11
253,300122.SZ,20200520,81.52
254,002938.SZ,20200519,42.4
255,601939.SH,20200515,6.31
256,603288.SH,20200520,114.18
257,601166.SH,20200515,16.05
258,601229.SH,20200515,8.04
259,601236.SH,20200515,21.55
260,601318.SH,20200515,72.23
261,000568.SZ,20200518,89.5
262,000596.SZ,20200518,152.3
263,000895.SZ,20200518,40.45
264,002945.SZ,20200518,14.01
265,300122.SZ,20200518,83.47
266,600390.SH,20200518,7.19
267,300015.SZ,20200518,49.1
268,300142.SZ,20200518,43.49
269,601997.SH,20200515,7.67
270,600276.SH,20200518,97.2
271,600369.SH,20200518,4.52
272,600436.SH,20200518,148.68
273,002252.SZ,20200522,8.19
274,601688.SH,20200521,17.58
275,601998.SH,20200521,5.08
276,603156.SH,20200521,28.89
277,300122.SZ,20200522,78.98
278,000725.SZ,20200522,3.77
279,600061.SH,20200522,11.69
280,002252.SZ,20200521,8.44
281,002945.SZ,20200521,13.8
282,002841.SZ,20200520,79.3
283,002294.SZ,20200521,19.04
284,002456.SZ,20200521,14.76
285,002475.SZ,20200521,46.0
286,601166.SH,20200520,16.2
287,601229.SH,20200520,8.01
288,601236.SH,20200520,21.3
289,601318.SH,20200520,72.95
290,002241.SZ,20200520,20.8
291,600332.SH,20200515,30.78
292,000783.SZ,20200515,6.32
293,601818.SH,20200528,3.81
294,000001.SZ,20200525,12.96
295,600061.SH,20200528,11.86
296,002007.SZ,20200528,40.0
297,002044.SZ,20200528,11.83
298,002294.SZ,20200528,20.11
299,600000.SH,20200528,10.53
300,600085.SH,20200528,24.85
301,002945.SZ,20200529,13.6
302,300122.SZ,20200529,83.8
303,000538.SZ,20200529,88.18
304,600109.SH,20200529,9.84
305,600276.SH,20200526,81.5
306,600369.SH,20200526,4.39
307,002841.SZ,20200526,84.88
308,002916.SZ,20200526,158.0
309,600566.SH,20200525,21.19
310,601881.SH,20200526,9.72
311,603259.SH,20200526,109.5
312,600809.SH,20200526,122.88
313,600816.SH,20200526,2.5
314,601818.SH,20200526,3.69
315,600000.SH,20200525,10.27
316,600085.SH,20200525,24.85
317,600109.SH,20200527,9.71
318,600332.SH,20200527,30.28
319,601901.SH,20200522,6.9
